_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
65d3a25c2c98ce4374d8cf89,,47.19,100,47.19,71.44,118;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1708368476000
65d3a2392c98ce4374d8ce03,,42.79,98.25,45.59,70.08,107;1;0;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1708368441000
65d3a20a2c98ce4374d8cbd4,,45.19,99.12,45.19,67.14,113;0;0;0,time,30,-1,0,30,1,0,false,false,english,none,normal,false,false,false,,1708368394000
65d329002c98ce4374d3713f,,50.79,99.22,50.79,68.02,127;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1708337407000
65d328d32c98ce4374d36f9d,true,53.59,100,53.59,75.66,67;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1708337363000
65d328b92c98ce4374d36eaf,,45.19,95.16,48.59,66.23,226;4;0;2,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,,1708337337000
65d328762c98ce4374d36bf6,,51.17,98.47,52.37,73.9,128;1;0;0,time,30,-1,0,30.02,0,0,false,false,english,none,normal,false,false,false,,1708337270000
65d3284e2c98ce4374d36a5c,,52.8,99.25,52.8,72.26,132;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1708337230000
65d328282c98ce4374d36907,,52.39,100,52.39,73.9,131;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1708337192000
65d328042c98ce4374d36798,,49.59,100,49.59,79.53,124;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1708337156000
65d327e32c98ce4374d36644,,47.6,98.35,47.6,64.67,119;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1708337123000
65d327be2c98ce4374d364de,,49.98,99.24,52.38,74.58,125;1;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1708337086000
65d3279b2c98ce4374d36381,,43.6,95.83,47.2,71.13,109;2;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1708337051000
65d3277a2c98ce4374d36248,,38.4,89.74,46,68.01,96;7;0;1,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1708337018000
65d327592c98ce4374d36118,,40,92.04,44.8,60.83,100;6;0;1,time,30,-1,0,30,1,0,false,false,english,none,normal,false,false,false,,1708336985000
65d327372c98ce4374d35fb9,,48.79,100,48.79,72.38,122;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1708336951000
65d327152c98ce4374d35e58,,50.39,97.01,53.58,77.81,126;3;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1708336917000
65d326eb2c98ce4374d35c9a,,43.99,96.58,46.39,71.64,110;1;1;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1708336875000
65d197892c98ce4374c66484,true,55.19,100,55.19,77.83,138;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1708234633000
65d197642c98ce4374c66350,,47.2,100,47.2,62.34,118;0;0;0,time,30,-1,0,30,1,0,false,false,english,none,normal,false,false,false,,1708234596000
65d197412c98ce4374c66229,,47.59,93.94,52.39,74.02,119;5;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1708234561000
65d1971d2c98ce4374c66120,,41.99,88.8,48.79,68.97,105;7;2;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1708234525000
65d196f22c98ce4374c65fd9,true,53.99,100,53.99,79.51,135;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1708234482000
65d196cb2c98ce4374c65e94,true,51.19,100,51.19,66.9,128;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1708234443000
65d196a72c98ce4374c65d59,,42.4,94.83,45.19,56.9,106;2;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1708234407000
